date,home_team,score,away_team
04-12-2024,Man City,3 - 0,Nott'm Forest
15-12-2024,Man City,1 - 2,Man United
26-12-2024,Man City,1 - 1,Everton
04-01-2025,Man City,4 - 1,West Ham
25-01-2025,Man City,3 - 1,Chelsea
15-02-2025,Man City,4 - 0,Newcastle
18-08-2024,Chelsea,0 - 2,Man City
31-08-2024,West Ham,1 - 3,Man City
28-09-2024,Newcastle,1 - 1,Man City
20-10-2024,Wolves,1 - 2,Man City
02-11-2024,Bournemouth,2 - 1,Man City
09-11-2024,Brighton,2 - 1,Man City
01-12-2024,Liverpool,2 - 0,Man City
07-12-2024,Crystal Palace,2 - 2,Man City
21-12-2024,Aston Villa,2 - 1,Man City
29-12-2024,Leicester,0 - 2,Man City
14-01-2025,Brentford,2 - 2,Man City
19-01-2025,Ipswich,0 - 6,Man City
02-02-2025,Arsenal,5 - 1,Man City
16-08-2024,Man United,1 - 0,Fulham
01-09-2024,Man United,0 - 3,Liverpool
29-09-2024,Man United,0 - 3,Tottenham
19-10-2024,Man United,2 - 1,Brentford
03-11-2024,Man United,1 - 1,Chelsea
10-11-2024,Man United,3 - 0,Leicester
01-12-2024,Man United,4 - 0,Everton
07-12-2024,Man United,2 - 3,Nott'm Forest
22-12-2024,Man United,0 - 3,Bournemouth
30-12-2024,Man United,0 - 2,Newcastle
16-01-2025,Man United,3 - 1,Southampton
19-01-2025,Man United,1 - 3,Brighton
02-02-2025,Man United,0 - 2,Crystal Palace
24-08-2024,Brighton,2 - 1,Man United
14-09-2024,Southampton,0 - 3,Man United
21-09-2024,Crystal Palace,0 - 0,Man United
06-10-2024,Aston Villa,0 - 0,Man United
27-10-2024,West Ham,2 - 1,Man United
24-11-2024,Ipswich,1 - 1,Man United
04-12-2024,Arsenal,2 - 0,Man United
15-12-2024,Man City,1 - 2,Man United
26-12-2024,Wolves,2 - 0,Man United
05-01-2025,Liverpool,2 - 2,Man United
26-01-2025,Fulham,0 - 1,Man United
16-02-2025,Tottenham,1 - 0,Man United
17-08-2024,Newcastle,1 - 0,Southampton
01-09-2024,Newcastle,2 - 1,Tottenham
28-09-2024,Newcastle,1 - 1,Man City
19-10-2024,Newcastle,0 - 1,Brighton
02-11-2024,Newcastle,1 - 0,Arsenal
25-11-2024,Newcastle,0 - 2,West Ham
04-12-2024,Newcastle,3 - 3,Liverpool
14-12-2024,Newcastle,4 - 0,Leicester
26-12-2024,Newcastle,3 - 0,Aston Villa
15-01-2025,Newcastle,3 - 0,Wolves
18-01-2025,Newcastle,1 - 4,Bournemouth
01-02-2025,Newcastle,1 - 2,Fulham
25-08-2024,Bournemouth,1 - 1,Newcastle
15-09-2024,Wolves,1 - 2,Newcastle
21-09-2024,Fulham,3 - 1,Newcastle
05-10-2024,Everton,0 - 0,Newcastle
27-10-2024,Chelsea,2 - 1,Newcastle
10-11-2024,Nott'm Forest,1 - 3,Newcastle
30-11-2024,Crystal Palace,1 - 1,Newcastle
07-12-2024,Brentford,4 - 2,Newcastle
21-12-2024,Ipswich,0 - 4,Newcastle
30-12-2024,Man United,0 - 2,Newcastle
04-01-2025,Tottenham,1 - 2,Newcastle
25-01-2025,Southampton,1 - 3,Newcastle
15-02-2025,Man City,4 - 0,Newcastle
17-08-2024,Nott'm Forest,1 - 1,Bournemouth
31-08-2024,Nott'm Forest,1 - 1,Wolves
28-09-2024,Nott'm Forest,0 - 1,Fulham
21-10-2024,Nott'm Forest,1 - 0,Crystal Palace
02-11-2024,Nott'm Forest,3 - 0,West Ham
10-11-2024,Nott'm Forest,1 - 3,Newcastle
30-11-2024,Nott'm Forest,1 - 0,Ipswich
14-12-2024,Nott'm Forest,2 - 1,Aston Villa
26-12-2024,Nott'm Forest,1 - 0,Tottenham
14-01-2025,Nott'm Forest,1 - 1,Liverpool
19-01-2025,Nott'm Forest,3 - 2,Southampton
01-02-2025,Nott'm Forest,7 - 0,Brighton
24-08-2024,Southampton,0 - 1,Nott'm Forest
14-09-2024,Liverpool,0 - 1,Nott'm Forest
22-09-2024,Brighton,2 - 2,Nott'm Forest
06-10-2024,Chelsea,1 - 1,Nott'm Forest
25-10-2024,Leicester,1 - 3,Nott'm Forest
23-11-2024,Arsenal,3 - 0,Nott'm Forest
04-12-2024,Man City,3 - 0,Nott'm Forest
07-12-2024,Man United,2 - 3,Nott'm Forest
